@relation '_Users_dawanit_Desktop_Homework_CS760_NaiveBayes_weka-weka.filters.unsupervised.attribute.StringToWordVector-R1-W1000-prune-rate-1.0-C-N0-stemmerweka.core.stemmers.NullStemmer-stopwords-handlerweka.core.stopwords.Null-M1-tokenizerweka.core.tokenizers.WordTokenizer -delimiters \" \\r\\n\\t.,;:\\\'\\\"()?!\"-weka.filters.unsupervised.attribute.Reorder-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,1'

@attribute a numeric
@attribute b numeric
@attribute c numeric
@attribute d numeric
@attribute e numeric
@attribute f numeric
@attribute g numeric
@attribute h numeric
@attribute i numeric
@attribute j numeric
@attribute k numeric
@attribute l numeric
@attribute m numeric
@attribute n numeric
@attribute o numeric
@attribute p numeric
@attribute q numeric
@attribute r numeric
@attribute s numeric
@attribute space numeric
@attribute t numeric
@attribute u numeric
@attribute v numeric
@attribute w numeric
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute @@class@@ {s,j,e}

@data
{0 210,1 32,2 63,3 54,4 313,5 55,6 68,7 136,8 178,9 6,10 10,11 107,12 60,13 188,14 179,15 46,16 1,17 156,18 204,19 557,20 256,21 81,22 31,23 52,24 4,25 32,26 1,27 e}
{0 234,1 20,2 77,3 77,4 214,5 16,6 14,7 5,8 99,9 7,11 112,12 51,13 111,14 146,15 41,16 15,17 127,18 124,19 343,20 71,21 71,22 17,24 3,25 13,26 7}
{0 175,1 14,2 9,3 22,4 75,5 6,6 19,7 53,8 120,9 6,10 71,11 4,12 48,13 75,14 139,17 47,18 63,19 166,20 82,21 97,23 29,25 17,26 13,27 j}
{0 41,1 5,2 16,3 18,4 102,5 21,6 24,7 52,8 51,10 2,11 24,12 20,13 52,14 72,15 25,17 56,18 51,19 145,20 66,21 24,22 10,23 10,24 3,25 13,26 1,27 e}
{0 93,1 6,2 35,3 41,4 109,5 5,6 6,7 4,8 43,9 4,11 40,12 18,13 52,14 83,15 21,16 9,17 70,18 69,19 159,20 41,21 34,22 7,24 2,25 8,26 1}
{0 161,1 11,2 7,3 27,4 104,5 7,6 13,7 41,8 122,9 1,10 73,12 56,13 72,14 106,17 57,18 65,19 168,20 86,21 108,23 23,25 16,26 11,27 j}
{0 43,1 4,2 6,3 15,4 74,5 21,6 11,7 38,8 32,10 4,11 17,12 16,13 29,14 48,15 10,17 45,18 50,19 125,20 50,21 16,22 7,23 9,24 2,25 12,27 e}
{0 139,1 8,2 48,3 59,4 151,5 14,6 5,7 6,8 60,9 6,11 68,12 41,13 75,14 99,15 23,16 7,17 69,18 89,19 211,20 52,21 34,22 6,24 5,25 8,26 2}
{0 191,1 20,2 6,3 18,4 102,5 5,6 21,7 49,8 154,9 3,10 88,11 2,12 60,13 94,14 147,15 2,17 56,18 71,19 188,20 106,21 106,22 2,23 27,25 24,26 15,27 j}
{0 144,1 32,2 68,3 69,4 257,5 60,6 52,7 121,8 160,9 3,10 12,11 74,12 46,13 148,14 176,15 45,16 2,17 128,18 170,19 470,20 202,21 69,22 19,23 36,24 3,25 30,27 e}
{0 181,1 16,2 59,3 80,4 202,5 14,6 12,7 4,8 81,9 21,10 1,11 104,12 43,13 80,14 126,15 51,16 13,17 105,18 108,19 299,20 58,21 49,22 9,24 8,25 18,26 7}
{0 132,1 13,2 6,3 13,4 52,5 3,6 17,7 36,8 115,9 3,10 60,11 9,12 37,13 53,14 100,17 44,18 47,19 136,20 62,21 74,23 22,25 14,26 5,27 j}
{0 138,1 30,2 48,3 50,4 225,5 41,6 24,7 101,8 123,9 3,10 5,11 62,12 54,13 134,14 148,15 32,16 3,17 122,18 151,19 391,20 189,21 59,22 24,23 42,24 1,25 35,27 e}
{0 228,1 23,2 79,3 59,4 219,5 16,6 20,7 7,8 118,9 12,11 106,12 49,13 118,14 129,15 39,16 17,17 111,18 121,19 328,20 77,21 68,22 9,24 6,25 16,26 2}
{0 231,1 17,2 7,3 37,4 100,5 6,6 23,7 61,8 188,9 2,10 114,12 65,13 102,14 165,17 75,18 79,19 225,20 84,21 135,23 36,25 34,26 18,27 j}
{0 40,1 8,2 15,3 17,4 92,5 18,6 15,7 43,8 44,10 5,11 20,12 13,13 41,14 55,15 19,17 44,18 54,19 139,20 60,21 14,22 6,23 10,24 1,25 8,26 2,27 e}
{0 177,1 8,2 75,3 73,4 239,5 21,6 12,7 12,8 98,9 11,10 1,11 91,12 44,13 115,14 149,15 57,16 20,17 111,18 128,19 322,20 67,21 66,22 11,23 1,24 3,25 7,26 10}
{0 188,1 15,2 10,3 27,4 88,5 6,6 28,7 40,8 137,9 5,10 85,11 1,12 59,13 69,14 111,15 4,17 59,18 55,19 173,20 68,21 89,23 24,25 16,26 11,27 j}
{0 67,1 8,2 28,3 25,4 142,5 16,6 12,7 66,8 61,10 9,11 46,12 25,13 75,14 88,15 17,17 72,18 76,19 236,20 100,21 38,22 13,23 28,25 16,26 1,27 e}
{0 133,1 11,2 60,3 71,4 167,5 14,6 6,7 4,8 72,9 7,11 69,12 44,13 79,14 102,15 32,16 7,17 89,18 99,19 234,20 47,21 47,22 9,24 3,25 14,26 1}
{0 192,1 13,2 13,3 20,4 95,5 5,6 19,7 52,8 147,9 5,10 71,12 73,13 86,14 133,15 2,17 83,18 61,19 186,20 88,21 118,23 28,25 25,26 11,27 j}
{0 69,1 5,2 10,3 23,4 108,5 16,6 8,7 48,8 51,9 3,10 1,11 22,12 25,13 43,14 59,15 12,17 57,18 73,19 181,20 87,21 27,22 6,23 15,25 19,26 1,27 e}
{0 139,1 13,2 41,3 47,4 126,5 4,6 11,7 9,8 55,9 13,11 64,12 27,13 67,14 74,15 30,16 8,17 74,18 63,19 190,20 38,21 38,22 4,24 5,25 8,26 4}
{0 185,1 14,2 5,3 18,4 86,5 4,6 23,7 46,8 150,9 2,10 60,11 2,12 76,13 93,14 124,17 63,18 63,19 170,20 69,21 100,23 24,25 21,26 13,27 j}
{0 31,1 8,2 14,3 17,4 59,5 12,6 8,7 20,8 49,10 1,11 10,12 19,13 39,14 39,15 13,16 1,17 30,18 37,19 97,20 44,21 17,22 7,23 5,24 1,25 4,27 e}
{0 218,1 15,2 75,3 71,4 183,5 11,6 13,7 7,8 98,9 10,10 1,11 115,12 40,13 93,14 135,15 36,16 13,17 108,18 134,19 338,20 66,21 66,22 16,23 3,24 6,25 27,26 6}
{0 194,1 12,2 7,3 22,4 89,5 5,6 17,7 44,8 132,9 2,10 90,12 62,13 74,14 108,17 60,18 71,19 164,20 75,21 112,23 31,25 11,26 14,27 j}
{0 126,1 16,2 31,3 37,4 166,5 32,6 21,7 57,8 98,10 7,11 57,12 43,13 100,14 90,15 29,17 84,18 105,19 302,20 118,21 46,22 15,23 24,24 3,25 23,26 1,27 e}
